candidate_id,edge_id,stage_span,dy_um,L_lb_um,port_facing_wrap_penalty_um,minimum_bend_count_lb,source_facing,target_facing,source_away,target_away,source_xy,target_xy,source_access_xy,target_access_xy,estimated_edge_cost_db
e_7d3c5e522a64,input:w0->waksman_8x8_s0_w0_1.in,1,421.5,478.5,0.0,2,E,W,False,False,"(20.0, 448.0)","(77.0, 26.5)","(20.0, 448.0)","(45.0, 26.5)",0.9570000000000001
e_7d3c5e522a64,input:w1->waksman_8x8_s0_w0_1.add,1,346.5,483.5,64.0,2,E,E,False,True,"(20.0, 384.0)","(93.0, 37.5)","(20.0, 384.0)","(125.0, 37.5)",0.967
e_7d3c5e522a64,input:w2->waksman_8x8_s0_w2_3.in,1,165.5,222.5,0.0,2,E,W,False,False,"(20.0, 320.0)","(77.0, 154.5)","(20.0, 320.0)","(45.0, 154.5)",0.445
e_7d3c5e522a64,input:w3->waksman_8x8_s0_w2_3.add,1,90.5,227.5,64.0,2,E,E,False,True,"(20.0, 256.0)","(93.0, 165.5)","(20.0, 256.0)","(125.0, 165.5)",0.455
e_7d3c5e522a64,input:w4->waksman_8x8_s0_w4_5.in,1,90.5,147.5,0.0,2,E,W,False,False,"(20.0, 192.0)","(77.0, 282.5)","(20.0, 192.0)","(45.0, 282.5)",0.295
e_7d3c5e522a64,input:w5->waksman_8x8_s0_w4_5.add,1,165.5,302.5,64.0,2,E,E,False,True,"(20.0, 128.0)","(93.0, 293.5)","(20.0, 128.0)","(125.0, 293.5)",0.605
e_7d3c5e522a64,input:w6->waksman_8x8_s0_w6_7.in,1,346.5,403.5,0.0,2,E,W,False,False,"(20.0, 64.0)","(77.0, 410.5)","(20.0, 64.0)","(45.0, 410.5)",0.807
e_7d3c5e522a64,input:w7->waksman_8x8_s0_w6_7.add,1,421.5,558.5,64.0,2,E,E,False,True,"(20.0, 0.0)","(93.0, 421.5)","(20.0, 0.0)","(125.0, 421.5)",1.117
e_7d3c5e522a64,stage:0:w0:waksman_8x8_s0_w0_1.th->waksman_8x8_s1_w0_2.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(93.0, 26.5)","(245.0, 325.5)","(125.0, 26.5)","(213.0, 325.5)",0.902
e_7d3c5e522a64,stage:0:w1:waksman_8x8_s0_w0_1.drop->waksman_8x8_s1_w1_3.in:w1,1,85.0,317.0,64.0,2,W,W,True,False,"(77.0, 37.5)","(245.0, 122.5)","(45.0, 37.5)","(213.0, 122.5)",0.634
e_7d3c5e522a64,stage:0:w2:waksman_8x8_s0_w2_3.th->waksman_8x8_s1_w0_2.add:w2,1,160.0,392.0,64.0,2,E,E,False,True,"(93.0, 154.5)","(261.0, 314.5)","(125.0, 154.5)","(293.0, 314.5)",0.784
e_7d3c5e522a64,stage:0:w3:waksman_8x8_s0_w2_3.drop->waksman_8x8_s1_w1_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(77.0, 165.5)","(261.0, 133.5)","(45.0, 165.5)","(293.0, 133.5)",0.6880000000000001
e_7d3c5e522a64,stage:0:w4:waksman_8x8_s0_w4_5.th->waksman_8x8_s1_w4_6.in:w4,1,213.0,365.0,0.0,2,E,W,False,False,"(93.0, 282.5)","(245.0, 69.5)","(125.0, 282.5)","(213.0, 69.5)",0.73
e_7d3c5e522a64,stage:0:w5:waksman_8x8_s0_w4_5.drop->waksman_8x8_s1_w5_7.in:w5,1,85.0,317.0,64.0,2,W,W,True,False,"(77.0, 293.5)","(245.0, 378.5)","(45.0, 293.5)","(213.0, 378.5)",0.634
e_7d3c5e522a64,stage:0:w6:waksman_8x8_s0_w6_7.th->waksman_8x8_s1_w4_6.add:w6,1,352.0,584.0,64.0,2,E,E,False,True,"(93.0, 410.5)","(261.0, 58.5)","(125.0, 410.5)","(293.0, 58.5)",1.168
e_7d3c5e522a64,stage:0:w7:waksman_8x8_s0_w6_7.drop->waksman_8x8_s1_w5_7.add:w7,1,32.0,344.0,128.0,2,W,E,True,True,"(77.0, 421.5)","(261.0, 389.5)","(45.0, 421.5)","(293.0, 389.5)",0.6880000000000001
